# x_m,y_m,w_tr_right_m,w_tr_left_m
-42.5030,35.0372,1.2762,1.2762
-42.5674,35.1016,1.2762,1.2762
-42.6319,35.1661,1.2762,1.2762
-42.6963,35.2306,1.2762,1.2762
-42.7608,35.2950,1.2762,1.2762
-42.8253,35.3595,1.2762,1.2762
-42.8897,35.4239,1.2762,1.2762
-42.9542,35.4884,1.2762,1.2762
-43.0186,35.5529,1.2762,1.2762
-43.0831,35.6173,1.2762,1.2762
-43.0831,35.6818,1.2516,1.2516
-43.1476,35.7462,1.2713,1.2713
-43.2120,35.8107,1.2762,1.2762
-43.2765,35.8752,1.2795,1.2795
-43.3409,35.9396,1.2762,1.2762
-43.3409,36.0041,1.2516,1.2516
-43.4054,36.0685,1.2713,1.2713
-43.4699,36.1330,1.2892,1.2892
-43.5343,36.1975,1.2697,1.2697
-43.5343,36.2619,1.2713,1.2713
-43.5988,36.3264,1.2697,1.2697
-43.5988,36.3908,1.2516,1.2516
-43.6632,36.4553,1.2713,1.2713
-43.6632,36.5198,1.2399,1.2399
-43.6632,36.5842,1.2111,1.2111
-43.7277,36.6487,1.2449,1.2449
-43.7277,36.7131,1.2230,1.2230
-43.7277,36.7776,1.2042,1.2042
-43.7277,36.8421,1.1851,1.1851
-43.7922,36.9065,1.2230,1.2230
-43.7922,36.9710,1.2042,1.2042
-43.7922,37.0354,1.1886,1.1886
-43.7922,37.0999,1.1763,1.1763
-43.7922,37.1644,1.1674,1.1674
-43.7922,37.2288,1.1621,1.1621
-43.8566,37.2933,1.2247,1.2247
-43.8566,37.3577,1.2247,1.2247
-43.8566,37.4222,1.2247,1.2247
-43.8566,37.4867,1.2247,1.2247
-43.8566,37.5511,1.2247,1.2247
-43.8566,37.6156,1.2247,1.2247
-43.8566,37.6800,1.2247,1.2247
-43.8566,37.7445,1.2247,1.2247
-43.7922,37.8090,1.1621,1.1621
-43.7922,37.8734,1.1674,1.1674
-43.7922,37.9379,1.1763,1.1763
-43.7922,38.0023,1.1886,1.1886
-43.7922,38.0668,1.2042,1.2042
-43.7277,38.1313,1.1621,1.1621
-43.7277,38.1957,1.1851,1.1851
-43.7277,38.2602,1.2111,1.2111
-43.7277,38.3246,1.2399,1.2399
-43.6632,38.3891,1.2162,1.2162
-43.6632,38.4536,1.2516,1.2516
-43.6632,38.5180,1.2713,1.2713
-43.5988,38.5825,1.2795,1.2795
-43.5343,38.6469,1.2762,1.2762
-43.4699,38.7114,1.2762,1.2762
-43.4054,38.7759,1.2762,1.2762
-43.3409,38.8403,1.2795,1.2795
-43.2765,38.9048,1.2762,1.2762
-43.2120,38.9048,1.2516,1.2516
-43.1476,38.9692,1.2713,1.2713
-43.0831,39.0337,1.2697,1.2697
-43.0186,39.0337,1.2697,1.2697
-42.9542,39.0337,1.2399,1.2399
-42.8897,39.0982,1.2697,1.2697
-42.8253,39.0982,1.2399,1.2399
-42.7608,39.1626,1.2697,1.2697
-42.6963,39.1626,1.2449,1.2449
-42.6319,39.1626,1.2230,1.2230
-42.5674,39.1626,1.2042,1.2042
-42.5030,39.2271,1.2449,1.2449
-42.4385,39.2271,1.2230,1.2230
-42.3740,39.2915,1.2664,1.2664
-42.3096,39.2915,1.2449,1.2449
-42.2451,39.2915,1.2230,1.2230
-42.1807,39.2915,1.2042,1.2042
-42.1162,39.2915,1.1886,1.1886
-42.0517,39.3560,1.2399,1.2399
-41.9873,39.3560,1.2315,1.2315
-41.9228,39.3560,1.2230,1.2230
-41.8584,39.3560,1.2042,1.2042
-41.7939,39.3560,1.1886,1.1886
-41.7294,39.4205,1.2399,1.2399
-41.6650,39.4205,1.2315,1.2315
-41.6005,39.4205,1.2264,1.2264
-41.5361,39.4205,1.2247,1.2247
-41.4716,39.4205,1.2230,1.2230
-41.4071,39.4205,1.2042,1.2042
-41.3427,39.4205,1.1886,1.1886
-41.2782,39.4205,1.1763,1.1763
-41.2138,39.4849,1.2315,1.2315
-41.1493,39.4849,1.2264,1.2264
-41.0848,39.4849,1.2247,1.2247
-41.0204,39.4849,1.2247,1.2247
-40.9559,39.4849,1.2247,1.2247
-40.8915,39.4849,1.2247,1.2247
-40.8270,39.5494,1.2892,1.2892
-40.7625,39.5494,1.2892,1.2892
-40.6981,39.5494,1.2892,1.2892
-40.6336,39.5494,1.2892,1.2892
-40.5692,39.5494,1.2892,1.2892
-40.5047,39.5494,1.2892,1.2892
-40.4402,39.5494,1.2892,1.2892
-40.3758,39.5494,1.2844,1.2844
-40.3113,39.5494,1.2664,1.2664
-40.2469,39.5494,1.2516,1.2516
-40.1824,39.5494,1.2399,1.2399
-40.1179,39.5494,1.2315,1.2315
-40.0535,39.5494,1.2264,1.2264
-39.9890,39.5494,1.2247,1.2247
-39.9246,39.5494,1.2247,1.2247
-39.8601,39.5494,1.2247,1.2247
-39.7956,39.5494,1.2247,1.2247
-39.7312,39.5494,1.2247,1.2247
-39.6667,39.5494,1.2247,1.2247
-39.6023,39.5494,1.2247,1.2247
-39.5378,39.6138,1.2892,1.2892
-39.4733,39.6138,1.2892,1.2892
-39.4089,39.6138,1.2892,1.2892
-39.3444,39.6138,1.2892,1.2892
-39.2800,39.6138,1.2892,1.2892
-39.2155,39.5494,1.2247,1.2247
-39.1510,39.5494,1.2247,1.2247
-39.0866,39.5494,1.2247,1.2247
-39.0221,39.5494,1.2247,1.2247
-38.9577,39.5494,1.2247,1.2247
-38.8932,39.5494,1.2247,1.2247
-38.8287,39.5494,1.2247,1.2247
-38.7643,39.5494,1.2264,1.2264
-38.6998,39.5494,1.2315,1.2315
-38.6354,39.5494,1.2399,1.2399
-38.5709,39.5494,1.2516,1.2516
-38.5064,39.5494,1.2664,1.2664
-38.4420,39.5494,1.2844,1.2844
-38.3775,39.5494,1.2892,1.2892
-38.3131,39.5494,1.2892,1.2892
-38.2486,39.5494,1.2892,1.2892
-38.1841,39.5494,1.2892,1.2892
-38.1197,39.5494,1.2892,1.2892
-38.0552,39.5494,1.2892,1.2892
-37.9908,39.5494,1.2892,1.2892
-37.9263,39.5494,1.2892,1.2892
-37.8618,39.5494,1.2892,1.2892
-37.7974,39.5494,1.2892,1.2892
-37.7329,39.5494,1.2892,1.2892
-37.6685,39.4849,1.2247,1.2247
-37.6040,39.4849,1.2247,1.2247
-37.5395,39.4849,1.2247,1.2247
-37.4751,39.4849,1.2264,1.2264
-37.4106,39.4849,1.2315,1.2315
-37.3462,39.4849,1.2399,1.2399
-37.2817,39.4849,1.2516,1.2516
-37.2172,39.4849,1.2664,1.2664
-37.1528,39.4849,1.2844,1.2844
-37.0883,39.4849,1.2892,1.2892
-37.0239,39.4849,1.2892,1.2892
-36.9594,39.4849,1.2892,1.2892
-36.8949,39.4849,1.2892,1.2892
-36.8305,39.4849,1.2892,1.2892
