# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.9605,8.1014,1.0490,1.0490
-3.9605,8.1684,1.0807,1.0807
-4.0275,8.2354,1.0490,1.0490
-4.0275,8.3024,1.0807,1.0807
-4.0945,8.3695,1.0490,1.0490
-4.0945,8.4365,1.0807,1.0807
-4.1615,8.5035,1.0490,1.0490
-4.1615,8.5705,1.0807,1.0807
-4.2285,8.6375,1.0490,1.0490
-4.2285,8.7046,1.0807,1.0807
-4.2956,8.7716,1.0490,1.0490
-4.2956,8.8386,1.0807,1.0807
-4.3626,8.9056,1.0490,1.0490
-4.3626,8.9726,1.0807,1.0807
-4.4296,9.0397,1.0490,1.0490
-4.4296,9.1067,1.0807,1.0807
-4.4966,9.1737,1.0490,1.0490
-4.4966,9.2407,1.0807,1.0807
-4.5636,9.3077,1.0490,1.0490
-4.5636,9.3748,1.0807,1.0807
-4.6307,9.4418,1.0490,1.0490
-4.6307,9.5088,1.0807,1.0807
-4.6977,9.5758,1.0490,1.0490
-4.6977,9.6428,1.0807,1.0807
-4.7647,9.7099,1.0597,1.0597
-4.7647,9.7769,1.0807,1.0807
-4.8317,9.8439,1.0807,1.0807
-4.8317,9.9109,1.0807,1.0807
-4.8987,9.9779,1.0807,1.0807
-4.9658,10.0450,1.0490,1.0490
-4.9658,10.1120,1.0807,1.0807
-5.0328,10.1790,1.0490,1.0490
-5.0328,10.2460,1.0807,1.0807
-5.0998,10.3130,1.0490,1.0490
-5.0998,10.3801,1.0807,1.0807
-5.1668,10.4471,1.0490,1.0490
-5.1668,10.5141,1.0807,1.0807
-5.2338,10.5811,1.0490,1.0490
-5.2338,10.6481,1.0807,1.0807
-5.3009,10.7152,1.0490,1.0490
-5.3009,10.7822,1.0807,1.0807
-5.3679,10.8492,1.0490,1.0490
-5.3679,10.9162,1.0807,1.0807
-5.4349,10.9832,1.0490,1.0490
-5.4349,11.0503,1.0807,1.0807
-5.5019,11.1173,1.0597,1.0597
-5.5019,11.1843,1.0807,1.0807
-5.5689,11.2513,1.0807,1.0807
-5.5689,11.3183,1.0807,1.0807
-5.6360,11.3854,1.0807,1.0807
-5.7030,11.4524,1.0490,1.0490
-5.7030,11.5194,1.0807,1.0807
-5.7700,11.5864,1.0490,1.0490
-5.7700,11.6534,1.0807,1.0807
-5.8370,11.7205,1.0490,1.0490
-5.8370,11.7875,1.0807,1.0807
-5.9040,11.8545,1.0490,1.0490
-5.9040,11.9215,1.0807,1.0807
-5.9711,11.9885,1.0490,1.0490
-5.9711,12.0556,1.0807,1.0807
-6.0381,12.1226,1.0490,1.0490
-6.0381,12.1896,1.0807,1.0807
-6.1051,12.2566,1.0597,1.0597
-6.1051,12.3236,1.0807,1.0807
-6.1721,12.3907,1.0807,1.0807
-6.1721,12.4577,1.0807,1.0807
-6.2391,12.5247,1.0807,1.0807
-6.3062,12.5917,1.0490,1.0490
-6.3062,12.6587,1.0807,1.0807
-6.3732,12.7258,1.0490,1.0490
-6.3732,12.7928,1.0807,1.0807
-6.4402,12.8598,1.0490,1.0490
-6.4402,12.9268,1.0807,1.0807
-6.5072,12.9938,1.0490,1.0490
-6.5072,13.0609,1.0807,1.0807
-6.5742,13.1279,1.0490,1.0490
-6.5742,13.1949,1.0807,1.0807
-6.6413,13.2619,1.0490,1.0490
-6.6413,13.3289,1.0807,1.0807
-6.7083,13.3960,1.0597,1.0597
-6.7083,13.4630,1.0807,1.0807
-6.7753,13.5300,1.0807,1.0807
-6.7753,13.5970,1.0807,1.0807
-6.8423,13.6640,1.0807,1.0807
-6.9093,13.7311,1.0490,1.0490
-6.9093,13.7981,1.0807,1.0807
-6.9764,13.8651,1.0490,1.0490
-6.9764,13.9321,1.0807,1.0807
-7.0434,13.9991,1.0490,1.0490
-7.0434,14.0662,1.0807,1.0807
-7.1104,14.1332,1.0490,1.0490
-7.1104,14.2002,1.0807,1.0807
-7.1774,14.2672,1.0490,1.0490
-7.1774,14.3342,1.0807,1.0807
-7.2444,14.4013,1.0490,1.0490
-7.2444,14.4683,1.0807,1.0807
-7.3115,14.5353,1.0490,1.0490
-7.3115,14.6023,1.0807,1.0807
-7.3785,14.6693,1.0490,1.0490
-7.3785,14.7364,1.0807,1.0807
-7.4455,14.8034,1.0490,1.0490
-7.4455,14.8704,1.0807,1.0807
-7.5125,14.9374,1.0597,1.0597
-7.5125,15.0044,1.0807,1.0807
-7.5795,15.0715,1.0807,1.0807
-7.5795,15.1385,1.0807,1.0807
-7.6466,15.2055,1.0807,1.0807
-7.7136,15.2725,1.0490,1.0490
-7.7136,15.3395,1.0807,1.0807
-7.7806,15.4066,1.0490,1.0490
-7.7806,15.4736,1.0807,1.0807
-7.8476,15.5406,1.0490,1.0490
-7.8476,15.6076,1.0807,1.0807
-7.9146,15.6746,1.0490,1.0490
-7.9146,15.7417,1.0807,1.0807
-7.9817,15.8087,1.0490,1.0490
-7.9817,15.8757,1.0807,1.0807
-8.0487,15.9427,1.0490,1.0490
-8.0487,16.0097,1.0807,1.0807
-8.1157,16.0768,1.0490,1.0490
-8.1157,16.1438,1.0807,1.0807
-8.1827,16.2108,1.0490,1.0490
-8.1827,16.2778,1.0807,1.0807
-8.2497,16.3448,1.0490,1.0490
-8.2497,16.4119,1.0807,1.0807
-8.3168,16.4789,1.0490,1.0490
-8.3168,16.5459,1.0807,1.0807
-8.3838,16.6129,1.0490,1.0490
-8.3838,16.6799,1.0807,1.0807
-8.4508,16.7470,1.0490,1.0490
-8.4508,16.8140,1.0807,1.0807
-8.5178,16.8810,1.0490,1.0490
-8.5178,16.9480,1.0807,1.0807
-8.5848,17.0150,1.0490,1.0490
-8.5848,17.0821,1.0807,1.0807
-8.6519,17.1491,1.0490,1.0490
-8.6519,17.2161,1.0807,1.0807
-8.7189,17.2831,1.0597,1.0597
-8.7189,17.3501,1.0807,1.0807
-8.7859,17.4172,1.0807,1.0807
-8.7859,17.4842,1.0597,1.0597
-8.8529,17.5512,1.0807,1.0807
-8.9199,17.6182,1.0490,1.0490
-8.9199,17.6852,1.0807,1.0807
-8.9870,17.7523,1.0490,1.0490
-8.9870,17.8193,1.0807,1.0807
-9.0540,17.8863,1.0490,1.0490
-9.0540,17.9533,1.0807,1.0807
-9.0540,18.0203,1.0490,1.0490
-9.0540,18.0874,1.0208,1.0208
-9.0540,18.1544,0.9963,0.9963
-9.1210,18.2214,1.0404,1.0404
-9.1210,18.2884,1.0208,1.0208
-9.1210,18.3554,0.9963,0.9963
-9.1210,18.4225,0.9758,0.9758
-9.1210,18.4895,0.9596,0.9596
-9.1880,18.5565,1.0142,1.0142
-9.1880,18.6235,1.0075,1.0075
-9.1880,18.6905,1.0053,1.0053
-9.1880,18.7576,1.0053,1.0053
-9.1880,18.8246,1.0053,1.0053
-9.1880,18.8916,1.0053,1.0053
-9.1880,18.9586,1.0075,1.0075
-9.1880,19.0256,1.0142,1.0142
-9.1880,19.0927,1.0252,1.0252
-9.1210,19.1597,0.9758,0.9758
-9.1210,19.2267,0.9963,0.9963
-9.1210,19.2937,1.0142,1.0142
-9.1210,19.3607,1.0252,1.0252
-9.1210,19.4278,1.0404,1.0404
-9.1210,19.4948,1.0597,1.0597
-9.0540,19.5618,1.0208,1.0208
-9.0540,19.6288,1.0404,1.0404
-9.0540,19.6958,1.0597,1.0597
-8.9870,19.7629,1.0208,1.0208
-8.9870,19.8299,1.0490,1.0490
-8.9870,19.8969,1.0807,1.0807
-8.9870,19.9639,1.0490,1.0490
-8.9199,20.0309,1.0807,1.0807
-8.9199,20.0980,1.0490,1.0490
-8.8529,20.1650,1.0807,1.0807
-8.8529,20.2320,1.0597,1.0597
-8.7859,20.2990,1.0597,1.0597
-8.7859,20.3660,1.0807,1.0807
-8.7189,20.4331,1.0490,1.0490
-8.7189,20.5001,1.0807,1.0807
-8.6519,20.5671,1.0490,1.0490
-8.6519,20.6341,1.0807,1.0807
-8.6519,20.7011,1.0490,1.0490
-8.5848,20.7682,1.0807,1.0807
-8.5848,20.8352,1.0490,1.0490
-8.5178,20.9022,1.0807,1.0807
-8.5178,20.9692,1.0490,1.0490
-8.4508,21.0362,1.0807,1.0807
-8.4508,21.1033,1.0597,1.0597
-8.3838,21.1703,1.0807,1.0807
-8.3838,21.2373,1.0807,1.0807
-8.3168,21.3043,1.0597,1.0597
-8.3168,21.3713,1.0807,1.0807
-8.2497,21.4384,1.0490,1.0490
-8.2497,21.5054,1.0807,1.0807
-8.1827,21.5724,1.0490,1.0490
-8.1827,21.6394,1.0807,1.0807
-8.1827,21.7064,1.0490,1.0490
-8.1157,21.7735,1.0807,1.0807
-8.1157,21.8405,1.0490,1.0490
-8.0487,21.9075,1.0807,1.0807
-8.0487,21.9745,1.0490,1.0490
-7.9817,22.0415,1.0807,1.0807
-7.9817,22.1086,1.0490,1.0490
-7.9146,22.1756,1.0807,1.0807
-7.9146,22.2426,1.0597,1.0597
-7.8476,22.3096,1.0807,1.0807
-7.8476,22.3766,1.0807,1.0807
-7.7806,22.4437,1.0597,1.0597
-7.7806,22.5107,1.0807,1.0807
-7.7136,22.5777,1.0490,1.0490
-7.7136,22.6447,1.0807,1.0807
-7.6466,22.7117,1.0490,1.0490
-7.6466,22.7788,1.0807,1.0807
-7.6466,22.8458,1.0490,1.0490
-7.5795,22.9128,1.0807,1.0807
-7.5795,22.9798,1.0490,1.0490
-7.5125,23.0468,1.0807,1.0807
-7.5125,23.1139,1.0490,1.0490
-7.4455,23.1809,1.0807,1.0807
-7.4455,23.2479,1.0490,1.0490
-7.3785,23.3149,1.0807,1.0807
-7.3785,23.3819,1.0490,1.0490
-7.3115,23.4490,1.0807,1.0807
-7.3115,23.5160,1.0490,1.0490
-7.2444,23.5830,1.0807,1.0807
-7.2444,23.6500,1.0490,1.0490
-7.1774,23.7170,1.0807,1.0807
-7.1774,23.7841,1.0490,1.0490
-7.1104,23.8511,1.0807,1.0807
-7.1104,23.9181,1.0490,1.0490
-7.0434,23.9851,1.0807,1.0807
-7.0434,24.0521,1.0490,1.0490
-6.9764,24.1192,1.0807,1.0807
-6.9093,24.1862,1.0807,1.0807
-6.9093,24.2532,1.0807,1.0807
-6.8423,24.3202,1.0807,1.0807
-6.8423,24.3872,1.0597,1.0597
-6.7753,24.4543,1.0807,1.0807
-6.7753,24.5213,1.0490,1.0490
-6.7083,24.5883,1.0807,1.0807
-6.7083,24.6553,1.0490,1.0490
-6.6413,24.7223,1.0807,1.0807
-6.6413,24.7894,1.0490,1.0490
-6.5742,24.8564,1.0807,1.0807
-6.5742,24.9234,1.0490,1.0490
-6.5072,24.9904,1.0807,1.0807
-6.5072,25.0574,1.0490,1.0490
-6.4402,25.1245,1.0807,1.0807
-6.4402,25.1915,1.0490,1.0490
-6.3732,25.2585,1.0807,1.0807
-6.3732,25.3255,1.0490,1.0490
-6.3062,25.3925,1.0807,1.0807
-6.3062,25.4596,1.0490,1.0490
-6.2391,25.5266,1.0807,1.0807
-6.2391,25.5936,1.0490,1.0490
-6.1721,25.6606,1.0807,1.0807
-6.1721,25.7276,1.0490,1.0490
-6.1051,25.7947,1.0807,1.0807
-6.1051,25.8617,1.0490,1.0490
-6.0381,25.9287,1.0807,1.0807
-6.0381,25.9957,1.0490,1.0490
-5.9711,26.0627,1.0807,1.0807
-5.9040,26.1298,1.0807,1.0807
-5.9040,26.1968,1.0807,1.0807
-5.8370,26.2638,1.0807,1.0807
-5.8370,26.3308,1.0597,1.0597
-5.7700,26.3978,1.0807,1.0807
-5.7700,26.4649,1.0490,1.0490
-5.7030,26.5319,1.0807,1.0807
-5.7030,26.5989,1.0490,1.0490
-5.6360,26.6659,1.0807,1.0807
-5.6360,26.7329,1.0490,1.0490
-5.5689,26.8000,1.0807,1.0807
-5.5689,26.8670,1.0490,1.0490
-5.5019,26.9340,1.0807,1.0807
-5.5019,27.0010,1.0490,1.0490
-5.4349,27.0680,1.0807,1.0807
-5.3679,27.1351,1.0490,1.0490
-5.3679,27.2021,1.0807,1.0807
-5.3009,27.2691,1.0597,1.0597
-5.3009,27.3361,1.0597,1.0597
-5.2338,27.4031,1.0807,1.0807
-5.2338,27.4702,1.0490,1.0490
-5.1668,27.5372,1.0807,1.0807
-5.0998,27.6042,1.0490,1.0490
-5.0998,27.6712,1.0807,1.0807
-5.0328,27.7382,1.0597,1.0597
-5.0328,27.8053,1.0597,1.0597
-4.9658,27.8723,1.0807,1.0807
-4.8987,27.9393,1.0490,1.0490
-4.8987,28.0063,1.0807,1.0807
-4.8317,28.0733,1.0597,1.0597
-4.8317,28.1404,1.0597,1.0597
-4.7647,28.2074,1.0807,1.0807
-4.6977,28.2744,1.0490,1.0490
-4.6977,28.3414,1.0807,1.0807
-4.6307,28.4084,1.0597,1.0597
-4.6307,28.4755,1.0597,1.0597
-4.5636,28.5425,1.0807,1.0807
-4.4966,28.6095,1.0597,1.0597
-4.4966,28.6765,1.0597,1.0597
-4.4296,28.7435,1.0807,1.0807
-4.3626,28.8106,1.0490,1.0490
-4.3626,28.8776,1.0807,1.0807
-4.2956,28.9446,1.0597,1.0597
-4.2956,29.0116,1.0597,1.0597
-4.2285,29.0786,1.0807,1.0807
-4.1615,29.1457,1.0597,1.0597
-4.1615,29.2127,1.0469,1.0469
-4.0945,29.2797,1.0597,1.0597
-4.0275,29.3467,1.0807,1.0807
-3.9605,29.4137,1.0597,1.0597
-3.9605,29.4808,1.0597,1.0597
-3.8934,29.5478,1.0807,1.0807
-3.8264,29.6148,1.0597,1.0597
-3.8264,29.6818,1.0597,1.0597
-3.7594,29.7488,1.0807,1.0807
-3.6924,29.8159,1.0807,1.0807
-3.6254,29.8829,1.0597,1.0597
-3.6254,29.9499,1.0597,1.0597
-3.5583,30.0169,1.0807,1.0807
-3.4913,30.0839,1.0597,1.0597
-3.4913,30.1510,1.0469,1.0469
-3.4243,30.2180,1.0597,1.0597
-3.3573,30.2850,1.0807,1.0807
-3.2903,30.3520,1.0807,1.0807
-3.2232,30.4190,1.0597,1.0597
-3.2232,30.4861,1.0597,1.0597
-3.1562,30.5531,1.0807,1.0807
-3.0892,30.6201,1.0910,1.0910
-3.0222,30.6871,1.0807,1.0807
-2.9552,30.7541,1.0597,1.0597
-2.9552,30.8212,1.0469,1.0469
-2.8881,30.8882,1.0597,1.0597
-2.8211,30.9552,1.0807,1.0807
-2.7541,31.0222,1.0807,1.0807
-2.6871,31.0892,1.0597,1.0597
-2.6871,31.1563,1.0469,1.0469
-2.6201,31.2233,1.0597,1.0597
-2.5530,31.2903,1.0807,1.0807
-2.4860,31.3573,1.0910,1.0910
-2.4190,31.4243,1.0910,1.0910
-2.3520,31.4914,1.0807,1.0807
-2.2850,31.5584,1.0597,1.0597
-2.2850,31.6254,1.0469,1.0469
-2.2179,31.6924,1.0597,1.0597
-2.1509,31.7594,1.0807,1.0807
