# x_m,y_m,w_tr_right_m,w_tr_left_m
-37.1640,30.8417,0.7134,0.7134
-37.1640,30.7703,0.7134,0.7134
-37.1640,30.6990,0.7134,0.7134
-37.1640,30.6276,0.7026,0.7026
-37.1640,30.5563,0.6768,0.6768
-37.1640,30.4850,0.6577,0.6577
-37.1640,30.4136,0.6460,0.6460
-37.1640,30.3423,0.6421,0.6421
-37.0927,30.2709,0.7134,0.7134
-37.0927,30.1996,0.7134,0.7134
-37.0927,30.1283,0.7134,0.7134
-37.0927,30.0569,0.7134,0.7134
-37.0927,29.9856,0.7134,0.7134
-37.0927,29.9142,0.7134,0.7134
-37.0927,29.8429,0.7134,0.7134
-37.0927,29.7716,0.7134,0.7134
-37.0927,29.7002,0.7026,0.7026
-37.0927,29.6289,0.6768,0.6768
-37.0927,29.5575,0.6577,0.6577
-37.0927,29.4862,0.6460,0.6460
-37.0927,29.4149,0.6421,0.6421
-37.0927,29.3435,0.6421,0.6421
-37.0213,29.2722,0.7134,0.7134
-37.0213,29.2008,0.7134,0.7134
-37.0213,29.1295,0.7134,0.7134
-37.0213,29.0582,0.7134,0.7134
-37.0213,28.9868,0.7134,0.7134
-37.0213,28.9155,0.7026,0.7026
-37.0213,28.8441,0.6768,0.6768
-37.0213,28.7728,0.6577,0.6577
-37.0213,28.7015,0.6460,0.6460
-37.0213,28.6301,0.6421,0.6421
-36.9500,28.5588,0.7134,0.7134
-36.9500,28.4874,0.7134,0.7134
-36.9500,28.4161,0.7134,0.7134
-36.9500,28.3448,0.7134,0.7134
-36.9500,28.2734,0.7134,0.7134
-36.9500,28.2021,0.7026,0.7026
-36.9500,28.1307,0.6768,0.6768
-36.9500,28.0594,0.6577,0.6577
-36.9500,27.9881,0.6460,0.6460
-36.8786,27.9167,0.7134,0.7134
-36.8786,27.8454,0.7134,0.7134
-36.8786,27.7740,0.7134,0.7134
-36.8786,27.7027,0.7134,0.7134
-36.8786,27.6314,0.7134,0.7134
-36.8786,27.5600,0.7026,0.7026
-36.8786,27.4887,0.6768,0.6768
-36.8786,27.4173,0.6577,0.6577
