# x_m,y_m,w_tr_right_m,w_tr_left_m
11.2389,15.5617,1.0489,1.0489
11.1617,15.4846,1.0347,1.0347
11.0846,15.4075,1.0055,1.0055
11.0846,15.3304,1.0375,1.0375
11.0075,15.2532,1.0375,1.0375
10.9304,15.1761,1.0347,1.0347
10.9304,15.0990,1.0347,1.0347
10.8533,15.0219,1.0489,1.0489
10.7761,14.9448,1.0375,1.0375
10.6990,14.8676,1.0347,1.0347
10.6990,14.7905,1.0375,1.0375
10.6219,14.7134,1.0489,1.0489
10.5448,14.6363,1.0347,1.0347
10.4677,14.5592,1.0055,1.0055
10.4677,14.4820,1.0375,1.0375
10.3905,14.4049,1.0375,1.0375
10.3134,14.3278,1.0347,1.0347
10.3134,14.2507,1.0347,1.0347
10.2363,14.1736,1.0489,1.0489
10.1592,14.0964,1.0347,1.0347
10.0821,14.0193,1.0055,1.0055
10.0821,13.9422,1.0375,1.0375
10.0049,13.8651,1.0375,1.0375
9.9278,13.7880,1.0347,1.0347
9.9278,13.7108,1.0347,1.0347
9.8507,13.6337,1.0489,1.0489
9.7736,13.5566,1.0375,1.0375
9.6965,13.4795,1.0347,1.0347
9.6965,13.4024,1.0375,1.0375
9.6193,13.3252,1.0489,1.0489
9.5422,13.2481,1.0347,1.0347
9.4651,13.1710,1.0055,1.0055
9.4651,13.0939,1.0375,1.0375
9.3880,13.0168,1.0375,1.0375
9.3109,12.9396,1.0347,1.0347
9.3109,12.8625,1.0347,1.0347
9.2337,12.7854,1.0489,1.0489
9.1566,12.7083,1.0347,1.0347
9.0795,12.6312,1.0055,1.0055
9.0795,12.5540,1.0375,1.0375
9.0024,12.4769,1.0375,1.0375
8.9253,12.3998,1.0347,1.0347
8.9253,12.3227,1.0347,1.0347
8.8481,12.2456,1.0489,1.0489
8.7710,12.1684,1.0375,1.0375
8.6939,12.0913,1.0347,1.0347
8.6939,12.0142,1.0375,1.0375
8.6168,11.9371,1.0489,1.0489
8.5397,11.8600,1.0347,1.0347
