# x_m,y_m,w_tr_right_m,w_tr_left_m
10.6506,-65.7844,1.0361,1.0361
10.6506,-65.6917,1.0361,1.0361
10.6506,-65.5990,0.9981,0.9981
10.7433,-65.5064,1.0361,1.0361
10.7433,-65.4137,0.9981,0.9981
10.8359,-65.3210,1.0361,1.0361
10.8359,-65.2284,1.0361,1.0361
10.8359,-65.1357,0.9981,0.9981
10.9286,-65.0430,1.0361,1.0361
10.9286,-64.9503,0.9981,0.9981
11.0213,-64.8577,1.0361,1.0361
11.0213,-64.7650,1.0361,1.0361
11.0213,-64.6723,0.9981,0.9981
11.1139,-64.5797,1.0361,1.0361
11.1139,-64.4870,0.9981,0.9981
11.2066,-64.3943,1.0361,1.0361
11.2066,-64.3017,1.0361,1.0361
11.2066,-64.2090,0.9981,0.9981
11.2993,-64.1163,1.0361,1.0361
11.2993,-64.0236,0.9981,0.9981
11.3919,-63.9310,1.0361,1.0361
11.3919,-63.8383,1.0361,1.0361
11.3919,-63.7456,0.9981,0.9981
11.4846,-63.6530,1.0361,1.0361
11.4846,-63.5603,0.9981,0.9981
11.5773,-63.4676,1.0361,1.0361
11.5773,-63.3750,1.0361,1.0361
11.5773,-63.2823,0.9981,0.9981
11.6700,-63.1896,1.0361,1.0361
11.6700,-63.0969,0.9981,0.9981
11.7626,-63.0043,1.0361,1.0361
11.7626,-62.9116,1.0361,1.0361
11.7626,-62.8189,0.9981,0.9981
11.8553,-62.7263,1.0361,1.0361
11.8553,-62.6336,0.9981,0.9981
11.9480,-62.5409,1.0361,1.0361
11.9480,-62.4483,1.0361,1.0361
12.0406,-62.3556,1.0361,1.0361
12.0406,-62.2629,1.0361,1.0361
12.0406,-62.1702,0.9981,0.9981
12.1333,-62.0776,1.0361,1.0361
12.1333,-61.9849,0.9981,0.9981
12.2260,-61.8922,1.0361,1.0361
12.2260,-61.7996,1.0361,1.0361
12.2260,-61.7069,0.9981,0.9981
12.3186,-61.6142,1.0361,1.0361
12.3186,-61.5216,0.9981,0.9981
12.4113,-61.4289,1.0361,1.0361
12.4113,-61.3362,1.0361,1.0361
12.4113,-61.2435,0.9981,0.9981
12.5040,-61.1509,1.0361,1.0361
12.5040,-61.0582,0.9981,0.9981
12.5967,-60.9655,1.0361,1.0361
12.5967,-60.8729,1.0361,1.0361
12.5967,-60.7802,0.9981,0.9981
12.6893,-60.6875,1.0361,1.0361
12.6893,-60.5949,0.9981,0.9981
12.7820,-60.5022,1.0361,1.0361
12.7820,-60.4095,1.0361,1.0361
12.7820,-60.3168,0.9981,0.9981
12.8747,-60.2242,1.0361,1.0361
12.8747,-60.1315,0.9981,0.9981
12.9673,-60.0388,1.0361,1.0361
12.9673,-59.9462,1.0361,1.0361
12.9673,-59.8535,0.9981,0.9981
13.0600,-59.7608,1.0566,1.0566
13.0600,-59.6682,1.0361,1.0361
13.1527,-59.5755,1.0361,1.0361
13.1527,-59.4828,1.0361,1.0361
13.1527,-59.3901,0.9981,0.9981
13.2453,-59.2975,1.0361,1.0361
13.2453,-59.2048,1.0361,1.0361
13.2453,-59.1121,1.0236,1.0236
13.2453,-59.0195,0.9981,0.9981
13.3380,-58.9268,1.0361,1.0361
13.3380,-58.8341,1.0361,1.0361
13.3380,-58.7415,1.0236,1.0236
13.4307,-58.6488,1.0236,1.0236
13.4307,-58.5561,1.0361,1.0361
13.4307,-58.4634,1.0361,1.0361
13.4307,-58.3708,1.0236,1.0236
13.4307,-58.2781,0.9981,0.9981
13.4307,-58.1854,0.9675,0.9675
13.5234,-58.0928,1.0361,1.0361
13.5234,-58.0001,1.0236,1.0236
13.5234,-57.9074,1.0194,1.0194
13.5234,-57.8148,1.0194,1.0194
13.5234,-57.7221,0.9981,0.9981
13.5234,-57.6294,0.9675,0.9675
13.5234,-57.5367,0.9451,0.9451
13.6160,-57.4441,1.0236,1.0236
13.6160,-57.3514,1.0194,1.0194
13.6160,-57.2587,1.0194,1.0194
13.6160,-57.1661,1.0194,1.0194
13.6160,-57.0734,1.0194,1.0194
13.6160,-56.9807,0.9981,0.9981
13.7087,-56.8881,1.0236,1.0236
13.7087,-56.7954,1.0361,1.0361
13.7087,-56.7027,1.0236,1.0236
13.7087,-56.6100,1.0194,1.0194
13.7087,-56.5174,1.0194,1.0194
13.7087,-56.4247,1.0194,1.0194
13.7087,-56.3320,1.0194,1.0194
13.7087,-56.2394,1.0194,1.0194
13.7087,-56.1467,1.0194,1.0194
13.7087,-56.0540,1.0194,1.0194
13.7087,-55.9614,1.0194,1.0194
13.7087,-55.8687,1.0194,1.0194
13.7087,-55.7760,1.0194,1.0194
13.7087,-55.6833,1.0194,1.0194
13.7087,-55.5907,1.0194,1.0194
13.7087,-55.4980,1.0194,1.0194
13.7087,-55.4053,1.0194,1.0194
13.7087,-55.3127,1.0194,1.0194
13.7087,-55.2200,1.0194,1.0194
13.7087,-55.1273,1.0194,1.0194
13.7087,-55.0347,1.0194,1.0194
13.7087,-54.9420,1.0194,1.0194
13.7087,-54.8493,1.0236,1.0236
13.6160,-54.7566,0.9451,0.9451
13.6160,-54.6640,0.9675,0.9675
