# x_m,y_m,w_tr_right_m,w_tr_left_m
-54.0768,21.6570,1.0936,1.0936
-54.0768,21.7150,1.0936,1.0936
-54.0768,21.8309,1.0936,1.0936
-54.1348,21.9468,1.0936,1.0936
-54.2507,22.0627,1.0936,1.0936
-54.3087,22.1786,1.0936,1.0936
-54.3666,22.2946,1.0936,1.0936
-54.3666,22.4105,1.0936,1.0936
-54.4246,22.5264,1.0936,1.0936
-54.5405,22.6423,1.0936,1.0936
-54.5985,22.7582,1.0936,1.0936
-54.6564,22.8742,1.0936,1.0936
-54.6564,22.9901,1.0936,1.0936
-54.7144,23.1060,1.0936,1.0936
-54.7724,23.2219,1.0936,1.0936
-54.8303,23.3378,1.0936,1.0936
-54.8883,23.4538,1.0936,1.0936
-54.9462,23.5697,1.0936,1.0936
-54.9462,23.6856,1.0936,1.0936
-55.0042,23.8015,1.0936,1.0936
-55.1201,23.9174,1.0936,1.0936
-55.1781,24.0334,1.0936,1.0936
-55.2360,24.1493,1.0936,1.0936
-55.2360,24.2652,1.0936,1.0936
-55.2940,24.3232,1.0936,1.0936
-55.3520,24.4391,1.0936,1.0936
-55.4099,24.5550,1.0936,1.0936
-55.4679,24.6709,1.0936,1.0936
-55.4679,24.7868,1.0936,1.0936
-55.5258,24.9028,1.0936,1.0936
-55.5838,25.0187,1.0936,1.0936
-55.6997,25.1346,1.0936,1.0936
-55.7577,25.2505,1.0936,1.0936
-55.7577,25.3664,1.0936,1.0936
-55.7577,25.4824,1.0936,1.0936
-55.8156,25.5983,1.0936,1.0936
-55.9316,25.7142,1.0936,1.0936
-55.9895,25.8301,1.0936,1.0936
-56.0475,25.9460,1.0936,1.0936
-56.0475,26.0620,1.0936,1.0936
-56.1054,26.1779,1.0936,1.0936
-56.1634,26.2938,1.0936,1.0936
-56.2793,26.4097,1.0936,1.0936
-56.3373,26.5256,1.0936,1.0936
-56.3373,26.6416,1.0936,1.0936
-56.3952,26.7575,1.0936,1.0936
-56.4532,26.8734,1.0936,1.0936
-56.4532,26.9314,1.0936,1.0936
-56.5112,27.0473,1.0936,1.0936
-56.5691,27.1632,1.0936,1.0936
-56.6850,27.2791,1.0936,1.0936
-56.7430,27.3950,1.0936,1.0936
-56.7430,27.5110,1.0936,1.0936
-56.7430,27.6269,1.0936,1.0936
-56.8010,27.7428,1.0936,1.0936
-56.9169,27.8587,1.0936,1.0936
-56.9748,27.9746,1.0936,1.0936
-57.0328,28.0906,1.0936,1.0936
-57.0328,28.2065,1.0936,1.0936
-57.0908,28.3224,1.0936,1.0936
-57.1487,28.4383,1.0936,1.0936
-57.2646,28.5542,1.0936,1.0936
-57.3226,28.6702,1.0936,1.0936
-57.3226,28.7861,1.0936,1.0936
-57.3226,28.9020,1.0936,1.0936
-57.3806,29.0179,1.0936,1.0936
-57.4965,29.1338,1.0936,1.0936
-57.5544,29.2498,1.0936,1.0936
-57.6124,29.3657,1.0936,1.0936
-57.6124,29.4816,1.0936,1.0936
-57.6124,29.5396,1.0936,1.0936
-57.6704,29.6555,1.0936,1.0936
-57.7863,29.7714,1.0936,1.0936
-57.8442,29.8873,1.0936,1.0936
-57.9022,30.0032,1.0936,1.0936
-57.9022,30.1192,1.0936,1.0936
-57.9602,30.2351,1.0936,1.0936
-58.0761,30.3510,1.0936,1.0936
-58.1340,30.4669,1.0936,1.0936
-58.1920,30.5828,1.0936,1.0936
-58.1920,30.6988,1.0936,1.0936
-58.2500,30.8147,1.0936,1.0936
-58.3079,30.9306,1.0936,1.0936
-58.4238,31.0465,1.0936,1.0936
-58.4818,31.1624,1.0936,1.0936
-58.4818,31.2784,1.0936,1.0936
