# x_m,y_m,w_tr_right_m,w_tr_left_m
-10.5500,1.2500,0.9341,0.9341
-10.5000,1.2500,0.9487,0.9487
-10.4500,1.2500,0.9341,0.9341
-10.4000,1.2000,0.9341,0.9341
-10.3500,1.2000,0.9487,0.9487
-10.3000,1.2000,0.9341,0.9341
-10.2500,1.1500,0.9341,0.9341
-10.2000,1.1500,0.9487,0.9487
-10.1500,1.1500,0.9341,0.9341
-10.1000,1.1000,0.9220,0.9220
-10.0500,1.1000,0.9341,0.9341
-10.0000,1.1000,0.9341,0.9341
-9.9500,1.0500,0.9192,0.9192
-9.9000,1.0500,0.9394,0.9394
-9.8500,1.0500,0.9341,0.9341
-9.8000,1.0000,0.9220,0.9220
-9.7500,1.0000,0.9341,0.9341
-9.7000,1.0000,0.9341,0.9341
-9.6500,0.9500,0.9192,0.9192
-9.6000,0.9500,0.9394,0.9394
-9.5500,0.9500,0.9341,0.9341
-9.5000,0.9000,0.9434,0.9434
-9.4500,0.9000,0.9487,0.9487
-9.4000,0.9000,0.9341,0.9341
-9.3500,0.8500,0.9657,0.9657
-9.3000,0.8500,0.9487,0.9487
-9.2500,0.8000,0.9708,0.9708
-9.2000,0.8000,0.9657,0.9657
-9.1500,0.7500,0.9487,0.9487
-9.1000,0.7500,0.9657,0.9657
-9.0500,0.7500,0.9657,0.9657
-9.0000,0.7000,0.9618,0.9618
-8.9500,0.7000,0.9708,0.9708
-8.9000,0.7000,0.9708,0.9708
-8.8500,0.6500,0.9487,0.9487
-8.8000,0.6500,0.9657,0.9657
-8.7500,0.6500,0.9849,0.9849
-8.7000,0.6500,0.9657,0.9657
-8.6500,0.6500,0.9487,0.9487
-8.6000,0.6000,0.9513,0.9513
-8.5500,0.6000,0.9552,0.9552
-8.5000,0.5500,0.9124,0.9124
-8.4500,0.5500,0.9220,0.9220
-8.4000,0.5500,0.9341,0.9341
-8.3500,0.5500,0.9487,0.9487
-8.3000,0.5500,0.9657,0.9657
-8.2500,0.5000,0.9341,0.9341
-8.2000,0.5000,0.9487,0.9487
-8.1500,0.5000,0.9657,0.9657
-8.1000,0.4500,0.9341,0.9341
-8.0500,0.4500,0.9487,0.9487
-8.0000,0.4500,0.9657,0.9657
-7.9500,0.4000,0.9341,0.9341
-7.9000,0.4000,0.9487,0.9487
-7.8500,0.3500,0.9192,0.9192
-7.8000,0.3500,0.9341,0.9341
-7.7500,0.3500,0.9394,0.9394
-7.7000,0.3000,0.9192,0.9192
-7.6500,0.3000,0.9341,0.9341
-7.6000,0.2500,0.9014,0.9014
-7.5500,0.2500,0.9192,0.9192
-7.5000,0.2500,0.9341,0.9341
-7.4500,0.2000,0.9014,0.9014
-7.4000,0.2000,0.9192,0.9192
-7.3500,0.2000,0.9192,0.9192
-7.3000,0.1500,0.9014,0.9014
-7.2500,0.1500,0.9192,0.9192
-7.2000,0.1500,0.9220,0.9220
-7.1500,0.1000,0.9179,0.9179
-7.1000,0.1000,0.9394,0.9394
-7.0500,0.1000,0.9341,0.9341
-7.0000,0.1000,0.9192,0.9192
-6.9500,0.1000,0.9014,0.9014
-6.9000,0.0500,0.9341,0.9341
-6.8500,0.0500,0.9220,0.9220
-6.8000,0.0500,0.9124,0.9124
-6.7500,0.0000,0.9552,0.9552
-6.7000,0.0000,0.9513,0.9513
-6.6500,-0.0500,0.9823,0.9823
-6.6000,-0.0500,0.9962,0.9962
-6.5500,-0.1000,0.9657,0.9657
-6.5000,-0.1000,0.9823,0.9823
-6.4500,-0.1000,0.9962,0.9962
-6.4000,-0.1500,0.9657,0.9657
-6.3500,-0.1500,0.9823,0.9823
-6.3000,-0.2000,0.9487,0.9487
-6.2500,-0.2000,0.9500,0.9500
-6.2000,-0.2000,0.9513,0.9513
-6.1500,-0.2500,0.9055,0.9055
-6.1000,-0.2500,0.9124,0.9124
-6.0500,-0.2500,0.9220,0.9220
-6.0000,-0.3000,0.8860,0.8860
-5.9500,-0.3000,0.9014,0.9014
-5.9000,-0.3000,0.9192,0.9192
-5.8500,-0.3000,0.9341,0.9341
-5.8000,-0.3000,0.9341,0.9341
-5.7500,-0.3500,0.9192,0.9192
-5.7000,-0.3500,0.9341,0.9341
-5.6500,-0.3500,0.9341,0.9341
-5.6000,-0.4000,0.9192,0.9192
-5.5500,-0.4000,0.9341,0.9341
-5.5000,-0.4500,0.9014,0.9014
-5.4500,-0.4500,0.9192,0.9192
-5.4000,-0.4500,0.9341,0.9341
-5.3500,-0.4500,0.9192,0.9192
-5.3000,-0.5000,0.9192,0.9192
-5.2500,-0.5000,0.9341,0.9341
-5.2000,-0.5000,0.9220,0.9220
-5.1500,-0.5500,0.9124,0.9124
-5.1000,-0.5500,0.9220,0.9220
-5.0500,-0.5500,0.9341,0.9341
-5.0000,-0.6000,0.9014,0.9014
-4.9500,-0.6000,0.9124,0.9124
-4.9000,-0.6500,0.8732,0.8732
-4.8500,-0.6500,0.8860,0.8860
-4.8000,-0.6500,0.9014,0.9014
-4.7500,-0.6500,0.9192,0.9192
-4.7000,-0.7000,0.8860,0.8860
-4.6500,-0.7000,0.9014,0.9014
-4.6000,-0.7000,0.9192,0.9192
-4.5500,-0.7000,0.9124,0.9124
-4.5000,-0.7500,0.9179,0.9179
-4.4500,-0.7500,0.9341,0.9341
-4.4000,-0.7500,0.9192,0.9192
-4.3500,-0.8000,0.9192,0.9192
-4.3000,-0.8000,0.9341,0.9341
-4.2500,-0.8000,0.9192,0.9192
-4.2000,-0.8500,0.9192,0.9192
-4.1500,-0.8500,0.9341,0.9341
-4.1000,-0.8500,0.9220,0.9220
-4.0500,-0.9000,0.9192,0.9192
-4.0000,-0.9000,0.9341,0.9341
-3.9500,-0.9000,0.9341,0.9341
-3.9000,-0.9500,0.9192,0.9192
-3.8500,-0.9500,0.9341,0.9341
-3.8000,-0.9500,0.9341,0.9341
-3.7500,-1.0000,0.9192,0.9192
-3.7000,-1.0000,0.9341,0.9341
-3.6500,-1.0000,0.9341,0.9341
-3.6000,-1.0500,0.9192,0.9192
-3.5500,-1.0500,0.9341,0.9341
-3.5000,-1.0500,0.9341,0.9341
-3.4500,-1.1000,0.9192,0.9192
-3.4000,-1.1000,0.9341,0.9341
-3.3500,-1.1000,0.9341,0.9341
-3.3000,-1.1500,0.9192,0.9192
-3.2500,-1.1500,0.9394,0.9394
-3.2000,-1.1500,0.9341,0.9341
-3.1500,-1.2000,0.9220,0.9220
-3.1000,-1.2000,0.9341,0.9341
-3.0500,-1.2000,0.9341,0.9341
-3.0000,-1.2500,0.9192,0.9192
-2.9500,-1.2500,0.9341,0.9341
-2.9000,-1.2500,0.9341,0.9341
-2.8500,-1.3000,0.9124,0.9124
-2.8000,-1.3000,0.9220,0.9220
-2.7500,-1.3000,0.9341,0.9341
-2.7000,-1.3500,0.9014,0.9014
-2.6500,-1.3500,0.9055,0.9055
-2.6000,-1.3500,0.9124,0.9124
-2.5500,-1.4000,0.8732,0.8732
-2.5000,-1.4000,0.8860,0.8860
-2.4500,-1.4000,0.9014,0.9014
-2.4000,-1.4000,0.9124,0.9124
-2.3500,-1.4500,0.8732,0.8732
-2.3000,-1.4500,0.8860,0.8860
-2.2500,-1.4500,0.9014,0.9014
-2.2000,-1.5000,0.8732,0.8732
-2.1500,-1.5000,0.8944,0.8944
-2.1000,-1.5000,0.9179,0.9179
-2.0500,-1.5000,0.9014,0.9014
-2.0000,-1.5500,0.9014,0.9014
-1.9500,-1.5500,0.9192,0.9192
-1.9000,-1.5500,0.9014,0.9014
-1.8500,-1.6000,0.9179,0.9179
-1.8000,-1.6000,0.9220,0.9220
-1.7500,-1.6000,0.9124,0.9124
-1.7000,-1.6500,0.9220,0.9220
-1.6500,-1.6500,0.9341,0.9341
-1.6000,-1.7000,0.9014,0.9014
-1.5500,-1.7000,0.9192,0.9192
-1.5000,-1.7500,0.8944,0.8944
-1.4500,-1.7500,0.9179,0.9179
-1.4000,-1.7500,0.9192,0.9192
-1.3500,-1.7500,0.9014,0.9014
-1.3000,-1.8000,0.9192,0.9192
-1.2500,-1.8000,0.9220,0.9220
-1.2000,-1.8000,0.9124,0.9124
-1.1500,-1.8500,0.9192,0.9192
