# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.8000,0.8400,1.0705,1.0705
-2.7000,0.9400,1.0705,1.0705
-2.5000,1.1400,1.0705,1.0705
-2.4000,1.2400,1.0705,1.0705
-2.3000,1.4400,1.0705,1.0705
-2.2000,1.5400,1.0705,1.0705
-2.0000,1.6400,1.0705,1.0705
-1.9000,1.7400,1.0705,1.0705
-1.7000,1.7400,1.0705,1.0705
-1.6000,1.8400,1.0705,1.0705
-1.4000,2.0400,1.0705,1.0705
-1.3000,2.1400,1.0705,1.0705
-1.1000,2.2400,1.0705,1.0705
-0.9000,2.3400,1.0705,1.0705
-0.8000,2.3400,1.0705,1.0705
-0.6000,2.4400,1.0705,1.0705
-0.5000,2.5400,1.0705,1.0705
-0.3000,2.5400,1.0705,1.0705
-0.2000,2.6400,1.0705,1.0705
0.0000,2.6400,1.0705,1.0705
0.1000,2.7400,1.0705,1.0705
0.3000,2.6400,1.0705,1.0705
0.4000,2.5400,1.0705,1.0705
0.5000,2.4400,1.0705,1.0705
0.6000,2.3400,1.0705,1.0705
0.7000,2.3400,1.0705,1.0705
0.8000,2.2400,1.0705,1.0705
0.9000,2.2400,1.0705,1.0705
1.0000,2.0400,1.0705,1.0705
1.1000,1.9400,1.0705,1.0705
1.2000,1.7400,1.0705,1.0705
1.3000,1.6400,1.0705,1.0705
1.4000,1.4400,1.0705,1.0705
1.5000,1.4400,1.0705,1.0705
1.5000,1.2400,1.0705,1.0705
1.6000,1.0400,1.0705,1.0705
1.7000,0.9400,1.0705,1.0705
1.7000,0.7400,1.0705,1.0705
1.8000,0.6400,1.0705,1.0705
1.9000,0.4400,1.0705,1.0705
1.9000,0.3400,1.0705,1.0705
1.7000,0.1400,1.0705,1.0705
1.7000,0.0400,1.0705,1.0705
1.6000,-0.1600,1.0705,1.0705
1.6000,-0.2600,1.0705,1.0705
1.5000,-0.4600,1.0705,1.0705
1.4000,-0.6600,1.0705,1.0705
