# x_m,y_m,w_tr_right_m,w_tr_left_m
-54.0768,21.6570,1.3343,1.3331
-54.0768,21.7150,1.3343,1.3343
-54.0768,21.7729,1.3343,1.3343
-54.0768,21.8309,1.3343,1.3343
-54.0768,21.8888,1.3343,1.3343
-54.1348,21.9468,1.3343,1.3922
-54.1928,22.0048,1.3343,1.3922
-54.2507,22.0627,1.3343,1.3922
-54.3087,22.1207,1.3343,1.3922
-54.3087,22.1786,1.3343,1.3343
-54.3666,22.2366,1.2764,1.3343
-54.3666,22.2946,1.2764,1.3343
-54.3666,22.3525,1.2764,1.3343
-54.3666,22.4105,1.2764,1.3343
-54.3666,22.4684,1.3343,1.3343
-54.4246,22.5264,1.3343,1.3922
-54.4246,22.5844,1.3922,1.3922
-54.4826,22.6423,1.3922,1.3922
-54.5405,22.7003,1.3922,1.3922
-54.5985,22.7582,1.3343,1.3922
-54.5985,22.8162,1.3343,1.3343
-54.6564,22.8742,1.2764,1.3343
-54.6564,22.9321,1.2764,1.3343
-54.6564,22.9901,1.2764,1.3343
-54.6564,22.9901,1.2804,1.3343
-54.6564,23.0480,1.3381,1.3343
-54.7144,23.1060,1.3381,1.3922
-54.7144,23.1640,1.3959,1.3922
-54.7724,23.2219,1.3959,1.4502
-54.8303,23.2799,1.3959,1.4502
-54.8303,23.3378,1.3959,1.3922
-54.8883,23.3958,1.3381,1.3922
-54.8883,23.4538,1.3381,1.3343
-54.9462,23.5117,1.2804,1.3343
-54.9462,23.5697,1.2804,1.3343
-54.9462,23.6276,1.2804,1.3343
-54.9462,23.6856,1.3381,1.3343
-55.0042,23.7436,1.3381,1.3922
-55.0042,23.8015,1.3959,1.3922
-55.0622,23.8595,1.3959,1.4502
-55.1201,23.9174,1.3959,1.4502
-55.1201,23.9754,1.3959,1.3922
-55.1781,24.0334,1.3381,1.3922
-55.1781,24.0913,1.3381,1.3343
-55.2360,24.1493,1.2804,1.3343
-55.2360,24.2072,1.2804,1.3343
-55.2360,24.2652,1.2804,1.3343
-55.2360,24.3232,1.3381,1.3381
-55.2940,24.3811,1.3381,1.3959
-55.2940,24.4391,1.3959,1.3959
-55.3520,24.4970,1.3959,1.4536
-55.4099,24.5550,1.3959,1.4536
-55.4099,24.6130,1.3959,1.3959
-55.4679,24.6709,1.3381,1.3959
-55.4679,24.7289,1.3381,1.3381
-55.4679,24.7868,1.3381,1.3381
